depth_mbsf,age_ka_bp,hsg_pct,volcanic_glass_pct,detrital_carbonate_pct
3.265,51.78,16,17,0
3.275,51.90,11,17,0
3.285,52.03,12,8,0
3.295,52.15,12,10,0
3.305,52.28,11,15,0
3.315,52.40,21,19,0
3.335,52.65,16,16,0
3.345,52.78,19,18,0
3.355,52.90,11,8,0
3.365,53.03,14,7,0
3.375,53.15,12,13,0
3.385,53.28,13,12,0
3.395,53.40,14,13,0
3.405,53.53,17,14,0
3.415,53.65,18,12,0
3.425,53.78,17,14,0
3.435,53.90,17,15,0
3.445,54.03,18,26,0
3.455,54.15,22,23,0
3.465,54.28,20,22,0
3.475,54.40,23,19,0
3.485,54.60,20,15,0
3.495,54.80,14,11,0
3.505,55.00,10,2,0
3.515,55.20,12,1,0
3.525,55.40,9,2,0
3.535,55.60,10,1,0
3.545,55.80,16,10,0
3.555,56.00,18,8,0
3.565,56.20,15,6,2
3.575,56.40,10,0,0
3.585,56.60,11,2,0
3.595,56.80,10,0,0
3.605,57.00,9,3,1
3.615,57.20,10,0,0
3.625,57.40,12,1,0
3.635,57.60,8,2,0
3.645,57.80,4,1,3
3.655,58.05,4,2,0
3.665,58.30,6,1,1
3.675,58.55,11,0,0
3.685,58.80,18,9,1
3.695,59.05,10,3,0
3.705,59.36,17,5,4
3.715,59.66,22,2,0
3.725,59.97,19,14,0
3.735,60.28,15,13,0
3.745,60.58,10,19,1
3.755,60.89,14,16,0
3.765,61.19,19,24,4
3.775,61.50,23,28,5
3.785,61.81,15,19,9
3.795,62.11,14,18,9
3.805,62.42,20,25,13
3.815,62.73,23,25,14
3.825,63.03,18,15,6
3.835,63.34,19,9,6
3.845,63.64,17,12,4
3.855,63.95,21,10,4
3.865,64.23,25,7,5
3.875,64.52,15,4,2
3.885,64.80,16,5,3
3.895,65.08,13,8,1
3.905,65.36,23,7,1
3.915,65.65,27,9,3
3.925,65.93,20,7,1
3.945,66.49,19,4,2
3.955,66.78,21,1,0
3.965,67.06,23,1,1
3.975,67.34,21,1,0
3.985,67.62,21,3,1
3.995,67.91,27,2,0
4.005,68.19,30,5,0
4.015,68.47,20,0,0
4.025,68.75,18,0,1
4.035,69.04,17,1,0
4.045,69.32,18,0,2
4.055,69.60,15,1,0
4.065,69.78,16,0,3
4.075,69.95,17,0,0
4.085,70.13,17,1,1
4.095,70.31,14,0,0
4.105,70.48,18,1,0
4.115,70.66,16,1,0
4.125,70.84,20,0,0
